id;judul;abstrak;tahun
0;Klasifikasi Berita Hoaks pada Media Sosial dengan Naive Bayes;maraknya penyebaran berita hoaks di media sosial menjadi latar belakang penelitian ini metode naive bayes digunakan untuk mengelompokkan dokumen teks secara otomatis berdasarkan kategori proses dimulai dengan tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata umum serta pemotongan kata menjadi kata dasar kemudian dilakukan pembobotan kata menggunakan frekuensi kemunculan dan pembentukan model klasifikasi data dibagi menjadi data latih dan data uji untuk mengukur akurasi sistem secara objektif metode naive bayes dipilih karena sederhana cepat dan memberikan hasil yang baik untuk data teks hasil pengujian menunjukkan metode ini mampu mengklasifikasikan teks dengan akurasi yang tinggi dan waktu komputasi yang efisien penelitian ini diharapkan membantu proses pengelompokan dokumen teks dalam jumlah besar secara cepat dan akurat tanpa perlu pemeriksaan manual satu per satu sehingga meningkatkan efisiensi kerja serta memberikan kontribusi bagi pengembangan sistem pengolahan teks otomatis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi;2023
1;Penyaringan Email Spam Otomatis Berbasis Naive Bayes;banyaknya email spam yang mengganggu produktivitas pengguna mendorong penelitian ini metode naive bayes digunakan untuk mengelompokkan dokumen teks secara otomatis berdasarkan kategori proses dimulai dengan tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata umum serta pemotongan kata menjadi kata dasar kemudian dilakukan pembobotan kata menggunakan frekuensi kemunculan dan pembentukan model klasifikasi data dibagi menjadi data latih dan data uji untuk mengukur akurasi sistem secara objektif metode naive bayes dipilih karena sederhana cepat dan memberikan hasil yang baik untuk data teks hasil pengujian menunjukkan metode ini mampu mengklasifikasikan teks dengan akurasi yang tinggi dan waktu komputasi yang efisien penelitian ini diharapkan membantu proses pengelompokan dokumen teks dalam jumlah besar secara cepat dan akurat tanpa perlu pemeriksaan manual satu per satu sehingga meningkatkan efisiensi kerja serta memberikan kontribusi bagi pengembangan sistem pengolahan teks otomatis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi;2021
2;Pengelompokan Aduan Masyarakat Menggunakan Naive Bayes;tingginya volume aduan masyarakat pada layanan publik menjadi dasar penelitian ini metode naive bayes digunakan untuk mengelompokkan dokumen teks secara otomatis berdasarkan kategori proses dimulai dengan tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata umum serta pemotongan kata menjadi kata dasar kemudian dilakukan pembobotan kata menggunakan frekuensi kemunculan dan pembentukan model klasifikasi data dibagi menjadi data latih dan data uji untuk mengukur akurasi sistem secara objektif metode naive bayes dipilih karena sederhana cepat dan memberikan hasil yang baik untuk data teks hasil pengujian menunjukkan metode ini mampu mengklasifikasikan teks dengan akurasi yang tinggi dan waktu komputasi yang efisien penelitian ini diharapkan membantu proses pengelompokan dokumen teks dalam jumlah besar secara cepat dan akurat tanpa perlu pemeriksaan manual satu per satu sehingga meningkatkan efisiensi kerja serta memberikan kontribusi bagi pengembangan sistem pengolahan teks otomatis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi;2023
3;Kategorisasi Topik Artikel Jurnal Ilmiah dengan Naive Bayes;kebutuhan pengkategorian artikel ilmiah secara cepat melatarbelakangi penelitian ini metode naive bayes digunakan untuk mengelompokkan dokumen teks secara otomatis berdasarkan kategori proses dimulai dengan tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata umum serta pemotongan kata menjadi kata dasar kemudian dilakukan pembobotan kata menggunakan frekuensi kemunculan dan pembentukan model klasifikasi data dibagi menjadi data latih dan data uji untuk mengukur akurasi sistem secara objektif metode naive bayes dipilih karena sederhana cepat dan memberikan hasil yang baik untuk data teks hasil pengujian menunjukkan metode ini mampu mengklasifikasikan teks dengan akurasi yang tinggi dan waktu komputasi yang efisien penelitian ini diharapkan membantu proses pengelompokan dokumen teks dalam jumlah besar secara cepat dan akurat tanpa perlu pemeriksaan manual satu per satu sehingga meningkatkan efisiensi kerja serta memberikan kontribusi bagi pengembangan sistem pengolahan teks otomatis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi;2022
4;Deteksi Ujaran Kebencian di Twitter Berbasis Naive Bayes;meningkatnya ujaran kebencian di platform twitter menjadi perhatian penelitian ini metode naive bayes digunakan untuk mengelompokkan dokumen teks secara otomatis berdasarkan kategori proses dimulai dengan tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata umum serta pemotongan kata menjadi kata dasar kemudian dilakukan pembobotan kata menggunakan frekuensi kemunculan dan pembentukan model klasifikasi data dibagi menjadi data latih dan data uji untuk mengukur akurasi sistem secara objektif metode naive bayes dipilih karena sederhana cepat dan memberikan hasil yang baik untuk data teks hasil pengujian menunjukkan metode ini mampu mengklasifikasikan teks dengan akurasi yang tinggi dan waktu komputasi yang efisien penelitian ini diharapkan membantu proses pengelompokan dokumen teks dalam jumlah besar secara cepat dan akurat tanpa perlu pemeriksaan manual satu per satu sehingga meningkatkan efisiensi kerja serta memberikan kontribusi bagi pengembangan sistem pengolahan teks otomatis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi;2021
5;Analisis Sentimen Ulasan Produk Marketplace dengan SVM;banyaknya ulasan produk pada marketplace menjadi latar belakang penelitian ini metode support vector machine digunakan untuk mengklasifikasikan opini pengguna menjadi sentimen positif negatif dan netral data ulasan dikumpulkan kemudian melewati tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata tidak penting serta pemotongan kata menjadi kata dasar selanjutnya dilakukan pembobotan kata dan pembentukan model klasifikasi support vector machine dipilih karena mampu memisahkan data dengan margin optimal sehingga menghasilkan klasifikasi yang akurat data dibagi menjadi data latih dan data uji untuk mengukur kinerja model hasil pengujian menunjukkan model memberikan akurasi yang tinggi dalam mengenali sentimen analisis ini bermanfaat bagi perusahaan untuk memahami persepsi pelanggan terhadap produk maupun layanan sehingga dapat menjadi dasar pengambilan keputusan bisnis yang lebih baik dan terarah serta mendukung peningkatan kualitas pelayanan kepada konsumen hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
6;Penilaian Opini Publik terhadap Transportasi Umum Menggunakan SVM;beragamnya opini publik mengenai transportasi umum mendorong penelitian ini metode support vector machine digunakan untuk mengklasifikasikan opini pengguna menjadi sentimen positif negatif dan netral data ulasan dikumpulkan kemudian melewati tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata tidak penting serta pemotongan kata menjadi kata dasar selanjutnya dilakukan pembobotan kata dan pembentukan model klasifikasi support vector machine dipilih karena mampu memisahkan data dengan margin optimal sehingga menghasilkan klasifikasi yang akurat data dibagi menjadi data latih dan data uji untuk mengukur kinerja model hasil pengujian menunjukkan model memberikan akurasi yang tinggi dalam mengenali sentimen analisis ini bermanfaat bagi perusahaan untuk memahami persepsi pelanggan terhadap produk maupun layanan sehingga dapat menjadi dasar pengambilan keputusan bisnis yang lebih baik dan terarah serta mendukung peningkatan kualitas pelayanan kepada konsumen hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
7;Sentimen Pengguna Aplikasi Mobile Banking Berbasis SVM;tingginya penggunaan aplikasi mobile banking menjadi dasar penelitian ini metode support vector machine digunakan untuk mengklasifikasikan opini pengguna menjadi sentimen positif negatif dan netral data ulasan dikumpulkan kemudian melewati tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata tidak penting serta pemotongan kata menjadi kata dasar selanjutnya dilakukan pembobotan kata dan pembentukan model klasifikasi support vector machine dipilih karena mampu memisahkan data dengan margin optimal sehingga menghasilkan klasifikasi yang akurat data dibagi menjadi data latih dan data uji untuk mengukur kinerja model hasil pengujian menunjukkan model memberikan akurasi yang tinggi dalam mengenali sentimen analisis ini bermanfaat bagi perusahaan untuk memahami persepsi pelanggan terhadap produk maupun layanan sehingga dapat menjadi dasar pengambilan keputusan bisnis yang lebih baik dan terarah serta mendukung peningkatan kualitas pelayanan kepada konsumen hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
8;Analisis Tanggapan Masyarakat atas Kebijakan Publik dengan SVM;beragamnya tanggapan masyarakat terhadap kebijakan publik melatarbelakangi penelitian ini metode support vector machine digunakan untuk mengklasifikasikan opini pengguna menjadi sentimen positif negatif dan netral data ulasan dikumpulkan kemudian melewati tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata tidak penting serta pemotongan kata menjadi kata dasar selanjutnya dilakukan pembobotan kata dan pembentukan model klasifikasi support vector machine dipilih karena mampu memisahkan data dengan margin optimal sehingga menghasilkan klasifikasi yang akurat data dibagi menjadi data latih dan data uji untuk mengukur kinerja model hasil pengujian menunjukkan model memberikan akurasi yang tinggi dalam mengenali sentimen analisis ini bermanfaat bagi perusahaan untuk memahami persepsi pelanggan terhadap produk maupun layanan sehingga dapat menjadi dasar pengambilan keputusan bisnis yang lebih baik dan terarah serta mendukung peningkatan kualitas pelayanan kepada konsumen hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
9;Klasifikasi Sentimen Ulasan Tempat Wisata Menggunakan SVM;banyaknya ulasan wisatawan pada destinasi wisata menjadi perhatian penelitian ini metode support vector machine digunakan untuk mengklasifikasikan opini pengguna menjadi sentimen positif negatif dan netral data ulasan dikumpulkan kemudian melewati tahap praproses teks yang meliputi pembersihan tanda baca pengubahan huruf menjadi kecil penghapusan kata tidak penting serta pemotongan kata menjadi kata dasar selanjutnya dilakukan pembobotan kata dan pembentukan model klasifikasi support vector machine dipilih karena mampu memisahkan data dengan margin optimal sehingga menghasilkan klasifikasi yang akurat data dibagi menjadi data latih dan data uji untuk mengukur kinerja model hasil pengujian menunjukkan model memberikan akurasi yang tinggi dalam mengenali sentimen analisis ini bermanfaat bagi perusahaan untuk memahami persepsi pelanggan terhadap produk maupun layanan sehingga dapat menjadi dasar pengambilan keputusan bisnis yang lebih baik dan terarah serta mendukung peningkatan kualitas pelayanan kepada konsumen hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
